"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"37","0.21369372308254242","0.21369372308254242","0.21369372308254242","0.19722141325473785","0.19722141325473785","0.19722141325473785","0.20402458310127258","0.20402458310127258","0.20402458310127258","0.18740884959697723","0.18740884959697723","0.18740884959697723"
"38","0.21267902851104736","0.21267902851104736","0.21267902851104736","0.20090103149414062","0.20090103149414062","0.20090103149414062","0.21406616270542145","0.21406616270542145","0.21406616270542145","0.4730422794818878","0.4730422794818878","0.4730422794818878"
"39","0.21255581080913544","0.21255581080913544","0.21255581080913544","0.20137077569961548","0.20137077569961548","0.20137077569961548","0.2125227302312851","0.2125227302312851","0.2125227302312851","0.18422681093215942","0.18422681093215942","0.18422681093215942"
"40","0.20947031676769257","0.20947031676769257","0.20947031676769257","0.2011243849992752","0.2011243849992752","0.2011243849992752","0.20179489254951477","0.20179489254951477","0.20179489254951477","0.19477270543575287","0.19477270543575287","0.19477270543575287"
"41","0.20977376401424408","0.20977376401424408","0.20977376401424408","0.1996646374464035","0.1996646374464035","0.1996646374464035","0.20501232147216797","0.20501232147216797","0.20501232147216797","0.20642399787902832","0.20642399787902832","0.20642399787902832"
"42","0.20036712288856506","0.20036712288856506","0.20036712288856506","0.2024202048778534","0.2024202048778534","0.2024202048778534","0.19816812872886658","0.19816812872886658","0.19816812872886658","0.2128574103116989","0.2128574103116989","0.2128574103116989"
"43","0.19555898010730743","0.19555898010730743","0.19555898010730743","0.20501182973384857","0.20501182973384857","0.20501182973384857","0.21503746509552002","0.21503746509552002","0.21503746509552002","0.2660050094127655","0.2660050094127655","0.2660050094127655"
"44","0.20465701818466187","0.20465701818466187","0.20465701818466187","0.207846537232399","0.207846537232399","0.207846537232399","0.19879844784736633","0.19879844784736633","0.19879844784736633","0.3174043297767639","0.3174043297767639","0.3174043297767639"
"45","0.20696045458316803","0.20696045458316803","0.20696045458316803","0.2031383216381073","0.2031383216381073","0.2031383216381073","0.20682576298713684","0.20682576298713684","0.20682576298713684","0.19572089612483978","0.19572089612483978","0.19572089612483978"
"46","0.19780804216861725","0.19780804216861725","0.19780804216861725","0.19120727479457855","0.19120727479457855","0.19120727479457855","0.20675812661647797","0.20675812661647797","0.20675812661647797","0.1752135306596756","0.1752135306596756","0.1752135306596756"
"47","0.19765695929527283","0.19765695929527283","0.19765695929527283","0.18891099095344543","0.18891099095344543","0.18891099095344543","0.18937861919403076","0.18937861919403076","0.18937861919403076","0.3027351498603821","0.3027351498603821","0.3027351498603821"
"48","0.19971320033073425","0.19971320033073425","0.19971320033073425","0.1879938840866089","0.1879938840866089","0.1879938840866089","0.19928906857967377","0.19928906857967377","0.19928906857967377","0.18680061399936676","0.18680061399936676","0.18680061399936676"
"49","0.19059723615646362","0.19059723615646362","0.19059723615646362","0.19242286682128906","0.19242286682128906","0.19242286682128906","0.19624458253383636","0.19624458253383636","0.19624458253383636","0.1979120969772339","0.1979120969772339","0.1979120969772339"
"50","0.19554953277111053","0.19554953277111053","0.19554953277111053","","","","0.1917801946401596","0.1917801946401596","0.1917801946401596","0.2869502007961273","0.2869502007961273","0.2869502007961273"
"51","0.1997043341398239","0.1997043341398239","0.1997043341398239","","","","0.197396919131279","0.197396919131279","0.197396919131279","0.1755378693342209","0.1755378693342209","0.1755378693342209"
"52","0.20421384274959564","0.20421384274959564","0.20421384274959564","","","","0.1916731297969818","0.1916731297969818","0.1916731297969818","0.9512691497802734","0.9512691497802734","0.9512691497802734"
"53","0.20082087814807892","0.20082087814807892","0.20082087814807892","","","","0.20957623422145844","0.20957623422145844","0.20957623422145844","0.28044840693473816","0.28044840693473816","0.28044840693473816"
"54","0.200254425406456","0.200254425406456","0.200254425406456","","","","0.20006121695041656","0.20006121695041656","0.20006121695041656","6.428858757019043","6.428858757019043","6.428858757019043"
"55","0.19452442228794098","0.19452442228794098","0.19452442228794098","","","","0.185369074344635","0.185369074344635","0.185369074344635","0.16751480102539062","0.16751480102539062","0.16751480102539062"
"56","0.20101843774318695","0.20101843774318695","0.20101843774318695","","","","0.18655242025852203","0.18655242025852203","0.18655242025852203","1.2687355279922485","1.2687355279922485","1.2687355279922485"
"57","0.1944781243801117","0.1944781243801117","0.1944781243801117","","","","0.20227576792240143","0.20227576792240143","0.20227576792240143","0.19336891174316406","0.19336891174316406","0.19336891174316406"
"58","0.19608251750469208","0.19608251750469208","0.19608251750469208","","","","0.19498495757579803","0.19498495757579803","0.19498495757579803","0.18601293861865997","0.18601293861865997","0.18601293861865997"
"59","0.19340288639068604","0.19340288639068604","0.19340288639068604","","","","0.19385381042957306","0.19385381042957306","0.19385381042957306","0.18092221021652222","0.18092221021652222","0.18092221021652222"
"60","0.19316935539245605","0.19316935539245605","0.19316935539245605","","","","0.19370895624160767","0.19370895624160767","0.19370895624160767","0.17783719301223755","0.17783719301223755","0.17783719301223755"
"61","0.19099581241607666","0.19099581241607666","0.19099581241607666","","","","0.19399644434452057","0.19399644434452057","0.19399644434452057","0.16910292208194733","0.16910292208194733","0.16910292208194733"
"62","0.19579856097698212","0.19579856097698212","0.19579856097698212","","","","0.19608305394649506","0.19608305394649506","0.19608305394649506","0.17609204351902008","0.17609204351902008","0.17609204351902008"
"63","0.18804925680160522","0.18804925680160522","0.18804925680160522","","","","0.19700755178928375","0.19700755178928375","0.19700755178928375","0.1756686568260193","0.1756686568260193","0.1756686568260193"
"64","0.19175958633422852","0.19175958633422852","0.19175958633422852","","","","0.19408738613128662","0.19408738613128662","0.19408738613128662","0.18074952065944672","0.18074952065944672","0.18074952065944672"
"65","0.19338154792785645","0.19338154792785645","0.19338154792785645","","","","0.19375768303871155","0.19375768303871155","0.19375768303871155","0.24501590430736542","0.24501590430736542","0.24501590430736542"
"66","0.19226226210594177","0.19226226210594177","0.19226226210594177","","","","0.2755817770957947","0.2755817770957947","0.2755817770957947","0.18516992032527924","0.18516992032527924","0.18516992032527924"
